Country Name,Region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Asia,https://public.flourish.studio/country-flags/svg/af.svg,"755,783","796,042","838,885","884,370","932,848","984,301","1,038,888","1,096,387","1,157,782","1,223,837","1,295,415","1,372,537","1,454,693","1,540,644","1,628,785","1,717,441","1,807,144","1,897,014","1,982,086","2,054,820","2,119,077","2,161,996","2,186,182","2,198,724","2,212,453","2,238,426","2,279,257","2,336,671","2,423,356","2,483,662","2,593,995","2,763,231","2,985,692","3,236,993","3,482,633","3,697,605","3,870,061","4,008,109","4,130,273","4,266,092","4,436,299","4,648,055","4,892,951","5,155,686","5,426,770","5,691,823","5,931,413","6,151,939","6,364,968","6,588,859","6,837,008","7,114,615","7,416,385","7,733,964","8,054,214","8,367,663","8,670,939","8,971,345"
Albania,Europe,https://public.flourish.studio/country-flags/svg/al.svg,"493,982","513,592","530,766","547,928","565,248","582,374","599,300","616,687","635,924","656,733","677,801","698,647","720,649","742,333","764,166","786,668","809,052","832,109","854,618","876,974","902,120","927,513","954,645","982,645","1,011,235","1,040,127","1,068,501","1,098,349","1,127,722","1,167,160","1,197,222","1,198,912","1,209,490","1,219,882","1,230,218","1,240,399","1,250,518","1,260,414","1,270,214","1,279,853","1,289,391","1,298,584","1,327,220","1,354,848","1,381,828","1,407,298","1,430,886","1,452,398","1,473,392","1,495,260","1,519,519","1,546,929","1,575,788","1,603,505","1,630,119","1,654,503","1,680,247","1,706,345"
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,"3,394,203","3,626,403","3,882,767","4,154,288","4,443,887","4,753,164","5,041,536","5,208,671","5,383,539","5,563,573","5,747,263","5,933,927","6,124,850","6,321,297","6,525,328","6,738,780","6,961,531","7,240,239","7,611,660","8,004,279","8,420,028","8,858,976","9,321,410","9,805,134","10,307,407","10,824,413","11,355,685","11,892,457","12,421,409","12,956,681","13,496,456","14,039,539","14,584,560","15,126,562","15,661,352","16,185,540","16,698,037","17,198,083","17,689,675","18,188,015","18,684,937","19,180,228","19,677,273","20,182,205","20,703,617","21,248,009","21,818,169","22,414,414","23,041,887","23,700,349","24,393,852","25,124,194","25,888,503","26,674,438","27,465,760","28,248,180","29,016,679","29,770,548"
American Samoa,Oceania,https://public.flourish.studio/country-flags/svg/as.svg,"13,251","13,652","14,163","14,769","15,416","16,072","16,721","17,371","18,009","18,624","19,209","19,760","20,281","20,767","21,222","21,657","22,055","22,440","22,859","23,397","24,125","25,134","26,312","27,637","29,059","30,515","32,019","33,552","35,087","36,594","38,076","39,612","41,058","42,429","43,766","45,086","46,402","47,673","48,895","50,032","50,956","51,480","51,915","52,199","52,270","52,083","51,612","50,897","50,072","49,309","48,735","48,406","48,282","48,310","48,390","48,449","48,481","48,502"
Andorra,Europe,https://public.flourish.studio/country-flags/svg/ad.svg,"7,839","8,766","9,754","10,811","11,915","13,067","14,262","15,494","16,765","18,083","19,458","20,902","22,401","23,917","25,397","26,791","28,085","29,304","30,491","31,774","33,205","34,800","36,561","38,451","40,421","42,441","44,342","46,118","47,926","49,758","51,627","53,571","55,546","57,380","58,847","59,803","60,128","59,940","59,605","59,649","60,417","61,991","64,194","66,747","69,192","71,205","72,736","73,843","74,640","75,097","75,007","74,309","73,059","71,527","70,066","68,921","68,199","67,845"
Angola,Africa,https://public.flourish.studio/country-flags/svg/ao.svg,"588,866","621,212","657,233","695,164","734,733","775,661","818,062","862,239","908,895","958,930","1,013,543","1,082,871","1,167,455","1,259,815","1,360,479","1,469,505","1,587,468","1,714,663","1,852,971","2,004,142","2,169,787","2,351,525","2,550,003","2,763,060","2,987,103","3,218,571","3,455,744","3,699,560","3,954,242","4,225,990","4,520,960","4,843,119","5,192,396","5,564,024","5,951,759","6,302,472","6,657,829","7,020,148","7,397,110","7,798,957","8,234,766","8,708,000","9,218,787","9,765,197","10,343,506","10,949,424","11,501,748","12,078,709","12,681,825","13,311,900","13,970,768","14,659,013","15,375,909","16,119,491","16,887,478","17,675,615","18,483,548","19,311,773"
Antigua and Barbuda,Americas,https://public.flourish.studio/country-flags/svg/ag.svg,"21,945","21,919","21,959","22,045","22,149","22,252","22,349","22,441","22,519","22,571","22,692","23,114","23,505","23,862","24,196","24,502","24,792","25,052","25,265","25,395","25,424","25,352","25,197","24,973","24,711","24,438","24,153","23,870","23,647","23,549","23,628","23,870","24,008","24,275","24,624","25,002","25,403","25,826","26,235","26,587","26,853","26,997","26,827","26,593","26,333","26,078","25,832","25,589","25,344","25,097","24,837","24,603","24,703","24,798","24,892","24,981","25,085","25,210"
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,"15,177,907","15,550,745","15,916,161","16,283,191","16,650,738","17,017,602","17,383,414","17,749,066","18,120,768","18,505,677","18,909,948","19,327,703","19,762,667","20,210,548","20,661,009","21,106,169","21,543,399","21,974,571","22,405,664","22,844,170","23,296,127","23,780,333","24,285,074","24,799,122","25,319,368","25,842,013","26,365,972","26,891,584","27,418,228","27,944,438","28,469,636","28,987,585","29,462,392","29,933,012","30,397,318","30,852,828","31,298,956","31,735,996","32,167,673","32,599,189","33,033,754","33,472,924","33,914,775","34,358,150","34,801,606","35,243,074","35,682,119","36,119,493","36,558,177","37,001,390","37,451,491","37,903,594","38,358,970","38,817,256","39,275,219","39,728,558","40,176,085","40,618,237"
Armenia,Asia,https://public.flourish.studio/country-flags/svg/am.svg,"960,955","1,012,429","1,065,431","1,119,584","1,174,558","1,229,978","1,285,571","1,341,277","1,397,343","1,454,160","1,511,605","1,569,625","1,628,590","1,688,028","1,747,461","1,801,945","1,855,659","1,908,576","1,960,876","2,007,500","2,047,386","2,085,894","2,122,747","2,159,333","2,197,505","2,238,079","2,282,853","2,330,095","2,372,859","2,393,836","2,385,466","2,353,776","2,302,482","2,240,025","2,178,117","2,125,280","2,084,084","2,052,297","2,027,670","2,006,224","1,984,980","1,964,164","1,948,854","1,935,530","1,921,532","1,906,157","1,888,677","1,869,501","1,850,791","1,835,406","1,825,366","1,821,393","1,822,527","1,827,656","1,834,174","1,840,158","1,845,032","1,849,202"
Aruba,Americas,https://public.flourish.studio/country-flags/svg/aw.svg,"27,526","28,141","28,532","28,761","28,924","29,082","29,253","29,416","29,575","29,738","29,900","30,082","30,275","30,470","30,605","30,661","30,615","30,495","30,353","30,282","30,332","30,560","30,943","31,365","31,676","31,762","31,560","31,142","30,753","30,720","31,273","32,507","34,116","35,953","37,719","39,172","40,232","40,970","41,488","41,945","42,444","43,048","43,670","44,246","44,669","44,889","44,881","44,686","44,375","44,052","43,778","43,822","44,064","44,360","44,674","44,979","45,275","45,572"
