Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
2020-12-19,12360,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-20,11,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-21,15,4,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-22,22,4,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-23,452,5,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-24,1140,5,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-25,5902,3,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-26,55651,6,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-27,77678,29,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,120374,41,6,1,0,0,0,0,0,0,0,0,0,0
2020-12-29,235608,53,9,1,20493,0,1,0,0,0,0,0,0,0
2020-12-30,390790,79,9,1,40595,0,1,0,0,0,0,0,0,0
2020-12-31,555750,86,9,1,43401,0,1,0,0,0,0,0,0,0
2021-01-01,683833,158,19,5,43528,6,13,0,0,0,0,0,0,0
2021-01-02,907215,1948,20,9,46838,3,7,0,0,0,0,0,0,0
2021-01-03,960194,242,20,9,47282,3,7,0,0,0,0,0,0,0
2021-01-04,1241614,338,22,65,57745,3,7,0,0,0,0,0,0,0
2021-01-05,1574422,379,22,69,68472,3,11,0,0,0,0,0,0,0
2021-01-06,1909275,433,27,73,78585,3,14,0,0,0,0,0,0,0
2021-01-07,2313304,493,37,81,96811,3,16,0,0,0,0,0,0,0
2021-01-08,5252863,1389,364,155,124704,16,60,0,0,2,0,0,0,0
2021-01-09,4497135,47964,207,118,134912,8,36,0,0,1,0,0,0,0
2021-01-10,4560876,1257,213,120,136087,8,37,0,0,1,0,0,0,0
2021-01-11,5006038,1735,220,126,155915,8,39,0,0,1,0,0,0,0
2021-01-12,11004836,3838079,232,128,175306,8,42,0,0,1,0,0,0,0
2021-01-13,12165973,4255036,233,128,192078,10,46,0,0,3,0,0,0,0
2021-01-14,6726114,22923,245,128,208727,10,47,0,0,3,0,0,0,0
2021-01-15,18567204,5198914,857,185,226174,30,126,0,0,6,0,0,0,0
2021-01-16,9329755,143797,490,142,232059,17,75,0,0,4,0,0,0,0
2021-01-17,9216226,70866,498,144,233122,17,75,0,0,4,0,0,0,0
2021-01-18,9761380,90241,512,144,242955,17,75,0,0,4,0,0,0,0
2021-01-19,19315617,6946768,618,144,256209,17,77,1,0,4,0,0,0,0
2021-01-20,20434213,7390989,628,144,275643,17,77,1,0,4,0,0,0,0
2021-01-21,21683141,7908796,641,146,289757,17,79,1,0,4,0,0,0,0
2021-01-22,28709755,8711084,1871,203,298981,346,177,1,2,8,0,0,0,0
2021-01-23,26075907,9463924,1095,152,302924,175,104,1,1,5,0,0,0,0
2021-01-24,26602020,9950488,1104,154,303227,175,104,1,1,5,0,0,0,0
