Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
2020-12-19,12360,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-20,12371,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-21,12386,8,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-22,12408,12,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-23,12860,17,0,3,0,0,0,0,0,0,0,0,0,0
2020-12-24,14000,22,0,4,0,0,0,0,0,0,0,0,0,0
2020-12-25,19902,25,0,5,0,0,0,0,0,0,0,0,0,0
2020-12-26,75553,31,0,6,0,0,0,0,0,0,0,0,0,0
2020-12-27,153231,60,2,6,0,0,0,0,0,0,0,0,0,0
2020-12-28,273605,101,8,7,0,0,0,0,0,0,0,0,0,0
2020-12-29,509213,154,17,8,20493,0,1,0,0,0,0,0,0,0
2020-12-30,900003,233,26,9,61088,0,2,0,0,0,0,0,0,0
2020-12-31,1455753,319,35,10,104489,0,3,0,0,0,0,0,0,0
2021-01-01,2139586,477,54,15,148017,6,16,0,0,0,0,0,0,0
2021-01-02,3046801,2425,74,24,194855,9,23,0,0,0,0,0,0,0
2021-01-03,4006995,2667,94,33,242137,12,30,0,0,0,0,0,0,0
2021-01-04,5248609,3005,116,98,299882,15,37,0,0,0,0,0,0,0
2021-01-05,6823031,3384,138,167,368354,18,48,0,0,0,0,0,0,0
2021-01-06,8732306,3817,165,240,446939,21,62,0,0,0,0,0,0,0
2021-01-07,11045610,4310,202,321,543750,24,78,0,0,0,0,0,0,0
2021-01-08,16298473,5699,566,476,668454,40,138,0,0,2,0,0,0,0
2021-01-09,20795608,53663,773,594,803366,48,174,0,0,3,0,0,0,0
2021-01-10,25356484,54920,986,714,939453,56,211,0,0,4,0,0,0,0
2021-01-11,30362522,56655,1206,840,1095368,64,250,0,0,5,0,0,0,0
2021-01-12,41367358,3894734,1438,968,1270674,72,292,0,0,6,0,0,0,0
2021-01-13,53533331,8149770,1671,1096,1462752,82,338,0,0,9,0,0,0,0
2021-01-14,60259445,8172693,1916,1224,1671479,92,385,0,0,12,0,0,0,0
2021-01-15,78826649,13371607,2773,1409,1897653,122,511,0,0,18,0,0,0,0
2021-01-16,88156404,13515404,3263,1551,2129712,139,586,0,0,22,0,0,0,0
2021-01-17,97372630,13586270,3761,1695,2362834,156,661,0,0,26,0,0,0,0
2021-01-18,107134010,13676511,4273,1839,2605789,173,736,0,0,30,0,0,0,0
2021-01-19,126449627,20623279,4891,1983,2861998,190,813,1,0,34,0,0,0,0
2021-01-20,146883840,28014268,5519,2127,3137641,207,890,2,0,38,0,0,0,0
2021-01-21,168566981,35923064,6160,2273,3427398,224,969,3,0,42,0,0,0,0
2021-01-22,197276736,44634148,8031,2476,3726379,570,1146,4,2,50,0,0,0,0
2021-01-23,223352643,54098072,9126,2628,4029303,745,1250,5,3,55,0,0,0,0
2021-01-24,249954663,64048560,10230,2782,4332530,920,1354,6,4,60,0,0,0,0
2021-01-25,277606711,74416143,11352,2938,4649969,1095,1460,7,5,65,0,0,0,0
2021-01-26,306400157,85159678,12528,3094,4980186,1270,1567,8,6,70,0,0,0,0
2021-01-27,336432645,96503601,13726,3254,5320516,1447,1674,9,7,77,0,0,0,0
2021-01-28,367961184,108613388,14937,3416,5676895,1624,1781,10,8,84,0,0,0,0
2021-01-29,408763255,121735640,18533,3643,6056784,2183,2025,11,18,100,0,0,0,0
2021-01-30,445364423,135843666,20609,3817,6445985,2466,2164,12,23,110,0,0,0,0
2021-01-31,482621842,150524674,22703,3993,6835809,2750,2304,14,28,120,0,0,0,0
2021-02-01,521115559,165738409,24934,4171,7245149,3034,2445,16,33,130,0,0,0,0
2021-02-02,560661194,181231509,27304,4355,7678340,16507,2586,18,38,140,0,0,0,0
2021-02-03,601559330,197324591,29738,4541,8138145,200185,2730,20,43,150,0,0,0,0
2021-02-04,643907963,214161449,32198,4737,8626063,557708,2897,22,48,160,0,0,0,0
2021-02-05,697705798,232156372,38494,5066,9147022,1084402,3254,26,66,176,0,0,0,0
2021-02-06,745481842,251427879,45037,5305,9678903,1638550,3473,30,75,186,0,0,0,0
2021-02-07,793996243,271676198,54454,5548,10212164,2201330,3696,34,84,196,0,0,0,0
2021-02-08,843772843,292552791,69542,5797,10768858,2985327,3920,38,93,206,0,0,0,0
2021-02-09,894756556,313834521,98673,6046,11345748,4011507,8008,42,102,216,0,0,0,0
2021-02-10,947371999,335945961,164686,6297,11938259,5309795,28712,46,111,226,0,0,0,0
2021-02-11,1001605581,358974406,299456,6552,12548623,6859130,83548,50,120,236,0,0,0,0
2021-02-12,1069222817,383534595,858875,6937,13179622,8638158,170976,54,148,252,0,0,0,0
2021-02-13,1129023755,409278695,1285131,7218,13811254,10446150,277100,58,162,262,0,0,0,0
2021-02-14,1189503935,436009140,1742678,7503,14443037,12258604,388529,62,176,272,0,0,0,0
2021-02-15,1223327679,437285340,2282714,7812,15076135,14336841,511459,66,190,282,0,0,0,0
2021-02-16,1286192877,465369464,2924367,8123,15710531,16635071,641924,70,204,292,0,0,0,0
2021-02-17,1350321662,494081003,3682206,8442,16369330,19121280,776351,74,218,302,0,0,0,0
2021-02-18,1415970433,523625988,4577564,8773,17091941,21762712,918188,78,232,312,0,0,0,0
2021-02-19,1496764821,554858882,6928219,9260,17916880,24547178,1090784,82,272,332,0,2,0,0
2021-02-20,1568202634,586939503,8634685,9629,18755792,27340532,1289312,86,292,344,0,3,0,0
2021-02-21,1639741494,619483815,10414562,10004,19614485,30135051,1492403,90,312,356,0,4,0,0
2021-02-22,1712592374,652552594,12356212,10381,20518161,33025626,1725997,94,332,368,0,5,0,0
2021-02-23,1786697804,686038525,14507522,10762,21458605,35986126,1986980,98,352,380,0,6,0,0
2021-02-24,1862419072,720214991,16912950,11145,22430812,39003794,2270874,102,372,392,0,7,0,0
2021-02-25,1939922397,755328242,19666303,11528,23429337,42073821,2570658,106,392,404,0,8,0,0
2021-02-26,2034897817,792363672,25760335,12148,24473685,45200177,3210782,110,442,430,0,10,0,0
2021-02-27,2119175600,830521921,30310605,12616,25503251,48336783,3695405,114,467,445,0,11,0,0
2021-02-28,2203377382,869529684,35018731,13088,26533594,51480759,4181029,118,492,460,0,12,0,0
2021-03-01,2289173749,909434181,40051575,13569,27584484,54771838,4676658,122,517,475,0,13,0,0
2021-03-02,2376763560,950213915,45571112,14055,28654406,58231149,5186546,126,542,490,0,14,0,0
2021-03-03,2466275498,992022374,51602370,14547,29742022,62016686,5732730,130,567,505,0,15,0,0
2021-03-04,2557788748,1034964161,58240775,15050,30851704,66122933,6376360,134,592,520,0,16,0,0
2021-03-05,2669182644,1080455210,69688355,15977,32008563,70541999,7699023,138,648,548,0,18,0,0
2021-03-06,2768807162,1127123259,78744390,16650,33147241,75004781,8715439,142,676,564,0,19,0,0
2021-03-07,2868168445,1174545834,88136617,17354,34286296,79483541,9740897,146,704,580,0,20,0,0
2021-03-08,2969342222,1222809098,98052229,226705,35443337,84338291,10835741,150,732,596,0,21,0,0
